method,time_result,average_score
"n_job=6, tree_method=exact","[128.37625980377197, 130.36306977272034, 131.6186318397522, 133.1778919696808, 133.40499591827393, 135.08737802505493, 134.9465970993042, 134.48510003089905, 135.0750207901001, 135.3001630306244, 135.81596183776855, 134.8579671382904, 135.0858702659607, 140.26052904129028, 142.85617399215698, 150.01188683509827, 134.87924981117249, 130.81721997261047, 131.21544289588928, 134.34269213676453, 134.36186385154724, 135.03296422958374, 135.56882309913635, 138.24195003509521, 136.85827898979187]","[0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321]"
"n_job=-1, tree_method=exact","[124.43896698951721, 125.73597693443298, 124.67178297042847, 126.85736608505249, 125.38583207130432, 127.01260113716125, 126.29272294044495, 125.43213415145874, 125.43602013587952, 125.51330900192261, 125.57743906974792, 124.76923179626465, 125.75503206253052, 125.45437908172607, 125.78695297241211, 125.41658091545105, 125.72462368011475, 125.65089511871338, 126.8311231136322, 126.91231489181519, 124.70688986778259, 116.36072492599487, 116.71644330024719, 118.48061084747314, 120.54587507247925]","[0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321, 0.9980492436359321]"
"ray backend, tree_method=exact","[123.38887619972229, 123.20213007926941, 124.475182056427, 125.73012280464172, 125.94183921813965, 126.47126913070679, 126.58607912063599, 129.1715431213379, 128.59762597084045, 129.89555096626282, 127.90182399749756, 128.1426031589508, 128.86808705329895, 129.240629196167, 129.9732632637024, 130.1402359008789, 121.06194496154785, 121.48992800712585, 121.90054512023926, 124.75719881057739, 124.59581112861633, 125.34523177146912, 126.48335289955139, 127.70034503936768, 129.23302292823792]",
