method,time_result,average_score,time_result_avg
"ray_backend n_job=-1, tree_method=exact","[221.29853296279907, 217.24194288253784, 222.80448603630066, 220.31654524803162, 220.25092887878418, 214.87997603416443, 214.38971590995789, 217.8119900226593, 217.45519423484802, 217.65633988380432, 225.04883408546448, 219.75828766822815, 225.74194192886353, 224.91799783706665, 221.27379393577576, 216.50794196128845, 221.52791094779968, 215.23087882995605, 215.40305709838867, 215.33412384986877, 217.74023914337158, 219.41091203689575, 216.74103379249573, 223.23453092575073, 224.05134201049805, 224.1344711780548, 221.97970414161682, 220.32839584350586, 220.47466397285461, 221.0703980922699, 219.6742639541626, 222.28074598312378, 219.41156196594238, 215.98838186264038, 217.23993706703186, 214.34428191184998, 218.32307982444763, 214.43653106689453, 215.24193716049194, 214.9253749847412, 216.45139384269714, 216.10449314117432, 216.64227080345154, 217.5842740535736, 216.68587112426758, 216.81145310401917, 217.66880702972412, 216.99721908569336, 217.02958798408508, 217.27823781967163]","[0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486]",218.7027163028717
"n_job=-1, tree_method=exact","[231.20413184165955, 231.77034091949463, 233.83200097084045, 234.04378986358643, 234.37164902687073, 234.26053977012634, 233.93781781196594, 233.99825310707092, 234.00229287147522, 235.08052778244019, 234.3270721435547, 234.41137623786926, 238.56619787216187, 237.5148720741272, 235.64205694198608, 232.04100894927979, 235.05316305160522, 236.27841114997864, 235.48492097854614, 235.01354813575745, 232.35610389709473, 230.5231761932373, 230.42012906074524, 235.18677496910095, 229.1424322128296, 229.37224292755127, 231.32592511177063, 234.18412518501282, 234.23056602478027, 234.48030519485474, 233.44558882713318, 233.22508907318115, 233.2535469532013, 233.7175657749176, 233.0676929950714, 232.9980812072754, 233.26540303230286, 233.70021677017212, 233.25338101387024, 233.21335816383362, 232.73723888397217, 232.96074604988098, 232.70522618293762, 234.07334899902344, 232.84067106246948, 234.20128107070923, 237.1237509250641, 237.44992208480835, 237.27541828155518, 235.09335780143738]","[0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486]",233.83313274860384
"n_job=4, tree_method=exact","[293.35462498664856, 312.37032103538513, 323.19646525382996, 325.78525471687317, 334.7098741531372, 331.1160349845886, 319.74588894844055, 304.170156955719, 297.75962924957275, 302.9052941799164, 304.70632219314575, 309.4521563053131, 306.25667786598206, 304.7890281677246, 304.23427414894104, 298.9260139465332, 294.1267340183258, 298.24998712539673, 297.2469198703766, 297.95790696144104, 299.77945017814636, 300.1146082878113, 300.08959197998047, 299.37154030799866, 300.04026794433594, 301.05499386787415, 299.98308205604553, 299.0884921550751, 299.74896597862244, 300.08196997642517, 299.3168752193451, 299.61594820022583, 300.2806570529938, 303.53759002685547, 301.31120204925537, 302.1905469894409, 302.75060176849365, 300.00273990631104, 298.4110701084137, 299.08758902549744, 299.6099228858948, 299.6390278339386, 299.4599931240082, 300.75827288627625, 300.7766590118408, 301.17021894454956, 301.1209440231323, 300.6785521507263, 302.0873463153839, 301.0948648452759]","[0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486]",303.4662630033493
"n_job=-1, tree_method=hist","[414.09147906303406, 414.3889961242676, 414.22707319259644, 415.02357602119446, 414.94846200942993, 414.72894406318665, 414.5773890018463, 414.76441526412964, 414.7251572608948, 414.86527395248413, 429.2809269428253, 421.0892028808594, 421.11683201789856, 421.99756026268005, 414.51051592826843, 414.7869927883148, 414.69813990592957, 414.21650290489197, 414.1139669418335, 417.3624231815338, 432.5594811439514, 426.53096294403076, 421.5581250190735, 425.330894947052, 422.6444671154022, 421.9844479560852, 431.76971077919006, 430.3657660484314, 428.3037576675415, 420.71872997283936, 419.8710210323334, 419.5694479942322, 418.06633591651917, 417.4571521282196, 416.491574048996, 415.4770448207855, 414.2311956882477, 413.6611261367798, 414.3328640460968, 414.13302397727966, 413.78831791877747, 417.8860459327698, 419.30193996429443, 419.4971387386322, 423.53261399269104, 420.0026571750641, 418.78909397125244, 418.47738695144653, 419.2941288948059, 425.44370579719543]","[0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999]",419.0116797685623
"n_job=4, tree_method=hist","[462.53806018829346, 458.7789990901947, 458.551029920578, 458.97019505500793, 458.8816478252411, 459.31372714042664, 458.8000338077545, 459.3335192203522, 459.60093808174133, 464.6670718193054, 459.1116442680359, 459.6293842792511, 459.48477387428284, 460.47160601615906, 459.76839900016785, 459.4710762500763, 459.7606792449951, 460.3042302131653, 464.6501669883728, 468.67138481140137, 466.6633927822113, 460.25437331199646, 459.89267921447754, 459.54253101348877, 460.3152530193329, 460.1905400753021, 460.0746400356293, 460.3404927253723, 460.3980281352997, 464.97221398353577, 461.24596905708313, 460.6224489212036, 460.4898521900177, 460.774836063385, 460.5882830619812, 460.4612979888916, 460.77568101882935, 460.6635148525238, 460.4389932155609, 460.2252447605133, 461.13712978363037, 460.78248715400696, 460.7011528015137, 460.8578300476074, 460.329381942749, 461.1438808441162, 461.0663170814514, 465.2163269519806, 462.24981594085693, 461.17827916145325]","[0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999]",460.8870286846161
"n_job=1, tree_method=exact","[1051.6339600086212, 1054.682184934616, 1050.5446240901947, 1050.6933689117432, 1050.7785029411316, 1049.2467801570892, 1050.728089094162, 1051.4265019893646, 1051.248852968216, 1051.4346890449524, 1048.7087349891663, 1049.073874950409, 1050.468339920044, 1050.8894181251526, 1051.5319910049438, 1050.4139468669891, 1050.5786600112915, 1051.7123980522156, 1052.2247278690338, 1051.6051819324493, 1051.3412840366364, 1049.7166278362274, 1048.1098282337189, 1047.9309771060944, 1048.952808856964, 1059.8608338832855, 1068.1682019233704, 1057.3803482055664, 1050.7378287315369, 1052.5906841754913, 1050.052329301834, 1050.3270568847656, 1051.9693808555603, 1051.318841934204, 1053.851539850235, 1049.9283330440521, 1052.041451215744, 1050.2398328781128, 1050.341213941574, 1049.6896951198578, 1053.8250849246979, 1052.3975369930267, 1049.9480941295624, 1050.516314983368, 1052.2064208984375, 1049.325865983963, 1051.1270508766174, 1052.1341269016266, 1049.7313611507416, 1050.5336310863495]","[0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486, 0.8325888933054486]",1051.5183882761005
"n_job=1, tree_method=hist","[1225.4195230007172, 1224.7871389389038, 1224.808506011963, 1224.8458716869354, 1224.996325969696, 1224.733626127243, 1222.0122621059418, 1218.8887929916382, 1225.2493629455566, 1228.5226678848267, 1221.936291217804, 1216.1969618797302, 1225.0854790210724, 1226.686784029007, 1233.7124960422516, 1219.5804300308228, 1217.6831328868866, 1225.5126159191132, 1219.4212892055511, 1223.5653882026672, 1215.8949933052063, 1225.4222128391266, 1227.3174159526825, 1221.6814069747925, 1218.8008320331573, 1224.9900569915771, 1222.4722290039062, 1221.4389140605927, 1219.3538298606873, 1224.9600219726562, 1223.7098710536957, 1218.9025902748108, 1218.5383331775665, 1226.261821269989, 1226.1964819431305, 1225.3780210018158, 1225.2748272418976, 1221.8847241401672, 1219.0522422790527, 1223.8791930675507, 1215.9318408966064, 1225.7717671394348, 1223.7797141075134, 1225.518921136856, 1226.712614774704, 1217.6073977947235, 1219.7352600097656, 1216.22185587883, 1225.5253851413727, 1225.48011302948]","[0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999, 0.8315309242571999]",1222.9467966890336
Dask workers=4,"[4076.7535820007324, 3960.8836460113525, 3970.204090833664, 4052.1134440898895, 4053.2452461719513, 3954.3581387996674, 3945.817531108856, 3955.8505821228027, 3926.347723007202, 4034.915050983429, 4009.8961341381073, 4036.216949939728, 3989.5850508213043, 4004.868195772171, 4052.1674358844757, 4045.771446943283, 4161.381165742874, 4203.009307146072, 4565.864974021912, 4333.801124095917, 4015.437204837799, 3902.915279150009, 4204.206962108612, 3921.8124499320984, 3978.3244936466217]",,4054.229888372421
